index,state,shap_value
180,NCT of Delhi,24474.192820582313
181,Odisha,-38531.860912412354
182,Telangana,-23194.066728179856
183,Uttar Pradesh,57188.5650066869
184,Gujarat,19770.12796821362
185,Haryana,-21486.467185235626
186,Karnataka,-91424.89068598438
187,Kerala,-107287.87276565123
188,Madhya Pradesh,-53536.62241696454
189,Maharashtra,-205725.14068805988
190,NCT of Delhi,82090.77325980536
191,Odisha,-95084.25055803523
192,Telangana,-215459.90018430253
193,Uttar Pradesh,143669.72913918988
194,Gujarat,17790.042808851176
195,Haryana,1964.8464548286456
196,Karnataka,-30426.663707013075
197,Kerala,-32716.74309003177
198,Madhya Pradesh,-8808.685791137854
199,Maharashtra,-23663.446335202352
200,NCT of Delhi,24482.80676158501
201,Odisha,-38527.046970206975
202,Telangana,-23166.088105267023
203,Uttar Pradesh,57188.74438193226
204,Andhra Pradesh,-59152.915349550996
205,Dadra and Nagar Haveli,97288.28407607506
206,Daman and Diu,70026.28069264955
207,Gujarat,-50614.9301439521
208,Haryana,-31469.501713271566
209,Himachal Pradesh,-6932.737825227489
210,Jammu and Kashmir,-19863.101168449146
211,Jharkhand,-20719.47089460263
212,Karnataka,-125365.86289630595
213,Kerala,-35282.691325029846
214,Madhya Pradesh,-21116.265016655005
215,Maharashtra,125123.97353571674
216,NCT of Delhi,42935.56020097891
217,Punjab,-80587.24353538925
218,Rajasthan,-71992.352778552
219,Tamil Nadu,13746.012940378077
220,Telangana,6090.455586348442
221,Uttar Pradesh,97396.6976958195
222,Uttarakhand,39356.19230495589
223,West Bengal,34528.83781512104
224,Andhra Pradesh,-205884.40113288932
225,Dadra and Nagar Haveli,199648.24126317515
226,Daman and Diu,132787.89840779002
227,Gujarat,-250596.02560016507
228,Haryana,-149515.17152206038
229,Himachal Pradesh,-33583.15068876559
230,Jammu and Kashmir,-66861.82374875661
231,Jharkhand,-67741.59438279194
232,Karnataka,-474094.8471745632
233,Kerala,-146796.4468415693
234,Madhya Pradesh,-136136.54889702375
235,Maharashtra,502626.2208082978
236,NCT of Delhi,164640.93230724958
237,Punjab,-229542.55148775887
238,Rajasthan,-271990.15650941624
239,Tamil Nadu,102702.35684033073
240,Telangana,-20049.680259596833
241,Uttar Pradesh,310537.11241186725
242,Uttarakhand,42745.50362936471
243,West Bengal,-62872.96706202809
244,Andhra Pradesh,-59157.55631317851
245,Dadra and Nagar Haveli,97286.74926796055
246,Daman and Diu,70015.33606702353
247,Gujarat,-50640.512378338804
248,Haryana,-31484.443922766655
249,Himachal Pradesh,-6943.235831152284
250,Jammu and Kashmir,-19869.576245901044
251,Jharkhand,-20721.40284395325
252,Karnataka,-125362.79126520258
253,Kerala,-35240.413084084736
254,Madhya Pradesh,-21073.405555477013
255,Maharashtra,125130.92894208479
256,NCT of Delhi,42940.38222625795
257,Punjab,-80583.43978535764
258,Rajasthan,-71989.71216855836
259,Tamil Nadu,13747.344143109496
260,Telangana,6129.727087065543
261,Uttar Pradesh,97398.37952564325
262,Uttarakhand,39398.63909518418
263,West Bengal,34537.52753191781
264,Andhra Pradesh,-1616006.7650341715
265,Assam,-586759.2153259704
266,Bihar,1384859.7626714506
267,Chhattisgarh,2169137.431499326
268,Goa,146687.5830807101
269,Gujarat,185786.590673536
270,Haryana,100870.80123218257
271,Jharkhand,179456.83404136472
272,Karnataka,-1090038.503682767
273,Kerala,-166395.62698836613
274,Madhya Pradesh,1141751.0889928632
275,Maharashtra,32855.51195285511
276,Manipur,-40541.53633090813
277,NCT of Delhi,-494658.29950791877
278,Odisha,-89395.20993768447
279,Puducherry,-171866.33763256454
280,Punjab,-511931.74600461806
281,Rajasthan,-1135251.9297135668
282,Tamil Nadu,-100836.17516146791
283,Telangana,101408.75950003685
284,Tripura,-34171.92735992611
285,Uttar Pradesh,840538.402755315
286,Uttarakhand,60675.379711885515
287,West Bengal,171529.02085372643
288,Andhra Pradesh,-13740648.256653389
289,Assam,-5481779.073281646
290,Bihar,11076904.232980423
291,Chhattisgarh,17534634.564481013
292,Goa,419177.2050391233
293,Gujarat,1543663.3000162046
294,Haryana,572046.6707066254
295,Jharkhand,1970729.8242666102
296,Karnataka,-9635980.927154632
297,Kerala,-1272658.211937454
298,Madhya Pradesh,10191082.154103389
299,Maharashtra,208512.61476493353
300,Manipur,-270129.84257514245
301,NCT of Delhi,-4298729.3158647865
302,Odisha,-252874.3334827139
303,Puducherry,-718038.5058174772
304,Punjab,-3984782.1118064197
305,Rajasthan,-9461333.121079527
306,Tamil Nadu,-446752.29007267946
307,Telangana,1324461.7331261337
308,Tripura,-454501.9118442033
309,Uttar Pradesh,7112171.864336799
310,Uttarakhand,145030.50918243657
311,West Bengal,833174.4191204049
312,Andhra Pradesh,-1616008.9737753922
313,Assam,-586763.8961623535
314,Bihar,1384854.6832829232
315,Chhattisgarh,2169133.186572355
316,Goa,146680.8773700074
317,Gujarat,185771.1365603725
318,Haryana,100862.7638435557
319,Jharkhand,179456.9207062883
320,Karnataka,-1090036.5592921579
321,Kerala,-166367.05139305507
322,Madhya Pradesh,1141753.5861122063
323,Maharashtra,32858.70582599121
324,Manipur,-40538.99856905554
325,NCT of Delhi,-494654.9097038963
326,Odisha,-89392.83848461998
327,Puducherry,-171868.20198833419
328,Punjab,-511930.4680086964
329,Rajasthan,-1135250.3649012728
330,Tamil Nadu,-100835.3315206114
331,Telangana,101409.97560425858
332,Tripura,-34145.42722325218
333,Uttar Pradesh,840538.991311943
334,Uttarakhand,60674.805461675154
335,West Bengal,171533.17587391264
336,Andaman and Nicobar,-40065.343979663776
337,Andhra Pradesh,-68563.97134711276
338,Arunachal Pradesh,-53756.1987981029
339,Assam,-61017.459302034455
340,Bihar,105592.53425698592
341,Chandigarh,117747.63580652868
342,Chhattisgarh,116332.44237240826
343,Daman and Diu,62350.07816170454
344,Goa,41472.40571452726
345,Gujarat,14150.996087414565
346,Haryana,-6452.436438818988
347,Himachal Pradesh,-22631.618288124722
348,Jammu and Kashmir,-20720.216891019074
349,Jharkhand,-25072.52519039376
350,Karnataka,-14846.089497310946
351,Kerala,-31308.63008851706
352,Lakshadweep,-33022.2117899356
353,Madhya Pradesh,-24717.316789900666
354,Maharashtra,4889.98442384757
355,Manipur,-15748.277403738024
356,Meghalaya,-25985.591737344155
357,Mizoram,-22317.034396124625
358,NCT of Delhi,110926.08348983995
359,Nagaland,-35586.22961590434
360,Odisha,-36959.65244449142
361,Punjab,-51671.61413807491
362,Rajasthan,-32123.09865922509
363,Sikkim,-24338.363045860744
